,bbox,location,avg_sentiment,count
56,"[138.865019488, -34.683056789, 138.899577792, -34.65323712]","Williamstown, South Australia",-0.05555555555555555,1
57,"[138.866936512, -34.9160949065, 138.89411248, -34.890108678]","Lobethal, South Australia",-0.08,1
58,"[138.899078656, -34.35299211, 138.933839456, -34.3230246075]","Kapunda, South Australia",0.062106563055329654,3
59,"[138.910346592, -33.6895436115, 138.948525376, -33.659201743]","Burra, South Australia",0.14705882352941177,1
60,"[138.936600736, -34.5547270065, 138.980101376, -34.5075930025]","Tanunda, South Australia",0.0,2
61,"[138.973213792, -34.4840075005, 139.013936992, -34.4499174025]","Nuriootpa, South Australia",0.17073170731707318,1
62,"[139.226880992, -35.1514260065, 139.347459008, -35.088482994]","Murray Bridge, South Australia",-0.18181818181818182,1
63,"[140.442539776, -37.701265559, 140.463521152, -37.687976898]","Tantanoola, South Australia",0.05128205128205128,1
64,"[140.714881728, -36.981808033, 140.773492864, -36.933610538]","Naracoorte, South Australia",0.09368143922773146,2
65,"[140.737611968, -37.8526190725, 140.823857504, -37.794292661]","Mount Gambier, South Australia",0.001983065953654192,11
66,"[140.961681976682, -39.1591895298437, 149.976679007421, -33.9804255797424]","Victoria, Australia",-0.01945382127836859,356
67,"[140.999474522999, -37.5050599967256, 159.109219005872, -28.1570199141289]","New South Wales, Australia",-0.03252738718284504,161
68,"[141.258516992, -37.0426359035, 141.307698144, -37.0108117595]","Edenhope, Victoria",0.05795454545454545,2
69,"[141.421085056, -31.99803942, 141.488399136, -31.932088215]","Broken Hill, New South Wales",0.0,1
70,"[141.675008704, -37.6130540625, 141.71684112, -37.5910561195]","Coleraine, Victoria",0.1111111111111111,1
71,"[141.988614304, -37.7621340555, 142.086744, -37.711181929]","Hamilton, Victoria",0.02976190476190476,2
72,"[142.11115088, -34.2435513455, 142.204163136, -34.1487095045]","Mildura, Victoria",0.02127659574468085,2
73,"[142.146975008, -36.7791695225, 142.230703008, -36.6967861365]","Horsham, Victoria",0.011111111111111112,2
74,"[142.205796576, -38.3964679755, 142.261424736, -38.3566199375]","Port Fairy, Victoria",0.15384615384615385,1
75,"[142.356798592, -38.308327001, 142.376266848, -38.283673346]","Koroit, Victoria",-0.042655762025220166,5
76,"[142.3603392, -10.8602064305, 142.379881344, -10.8414836905]","Seisia, Queensland",-0.04081632653061224,1
77,"[142.404627392, -38.413142636, 142.548783296, -38.3441659965]","Warrnambool, Victoria",-0.04730997163064549,27
78,"[142.731814112, -34.5838512975, 142.748652288, -34.571148883]","Euston, New South Wales",-0.3333333333333333,1
79,"[142.900376928, -37.3019130335, 142.966393984, -37.264063791]","Ararat, Victoria",-0.051240011175510976,22
80,"[142.90281312, -35.9935600295, 142.930068352, -35.967387876]","Birchip, Victoria",0.3333333333333333,1
81,"[143.104154016, -20.7434784135, 143.151824992, -20.697158132]","Richmond (Qld), Queensland",0.05723443223443223,2
82,"[143.31142512, -37.30407696, 143.46939204, -37.22652999]","Mount Lonarch, Victoria",0.04081632653061224,1
83,"[143.367694944, -37.442526631, 143.398274144, -37.4188228585]","Beaufort, Victoria",0.0,1
84,"[143.5549176, -38.3798781005, 143.626778272, -38.3261968355]","Colac, Victoria",0.07142857142857142,1
85,"[143.656015968, -38.7662820135, 143.679940928, -38.739133911]","Apollo Bay, Victoria",0.0967741935483871,1
86,"[143.716017952, -37.064970713, 143.757568096, -37.0214236]","Maryborough (Vic.), Victoria",0.0,1
87,"[143.750564992, -37.305978797, 143.802009024, -37.2487069965]","Clunes (Vic.), Victoria",0.045715778474399164,3
88,"[143.775930016, -38.3500410045, 143.791546016, -38.3302909965]","Birregurra, Victoria",0.05182926829268293,2
89,"[143.780231008, -37.6597172785, 143.925250656, -37.4751869935]","Ballarat, Victoria",0.04204587461106718,59
90,"[143.818922731609, -43.7405096002224, 148.498673596735, -39.2036616587427]","Tasmania, Australia",-0.01188563924112354,43
91,"[143.927556, -36.6129942345, 143.954084992, -36.595296006]","Bridgewater, Victoria",-0.12121212121212122,1
92,"[143.9624592, -38.5558409615, 143.993587552, -38.5159671345]","Lorne, Victoria",0.0009820440968224015,10
93,"[144.118885344, -37.3855817995, 144.163654016, -37.2979148875]","Daylesford - Hepburn Springs, Victoria",-0.07820512820512822,3
94,"[144.167985248, -37.106867034, 144.271028, -37.0348821465]","Castlemaine, Victoria",-0.01863362987201997,19
95,"[144.183904128, -36.833285001, 144.380744992, -36.641032002]","Bendigo, Victoria",0.05492884022295787,7
96,"[144.207356928, -37.6090162525, 144.241668352, -37.588638484]","Ballan, Victoria",0.10204081632653061,1
