sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
107.4,"Cobar",1,63.1,4672,22.8,2253,105011093,14.1,36.6,"New South Wales",2419
101.8,"Coonamble",1,59.9,4119,22.1,2041,105011094,18.0,40.6,"New South Wales",2078
99.2,"Nyngan - Warren",1,58.6,4874,21.0,2447,105011095,20.4,41.5,"New South Wales",2427
113.5,"Walgett - Lightning Ridge",1,58.5,6278,21.4,2940,105011096,20.2,43.5,"New South Wales",3338
98.6,"Berkeley - Lake Heights - Cringila",1,63.1,14739,19.4,7423,107011545,17.5,38.1,"New South Wales",7316
99.1,"Port Kembla - Warrawong",1,60.3,10172,19.1,5110,107011546,20.7,41.2,"New South Wales",5062
107.0,"Deniliquin Region",1,56.2,6735,19.5,3253,109031183,24.3,49.4,"New South Wales",3482
94.9,"Moama",1,53.6,6414,17.9,3291,109031184,28.4,46.1,"New South Wales",3123
101.8,"Tocumwal - Finley - Jerilderie",1,54.5,10069,16.7,4989,109031185,28.9,48.7,"New South Wales",5080
93.0,"Armidale",1,67.1,24584,16.9,12736,110011186,15.9,33.7,"New South Wales",11848
98.2,"Chifley",8,65.3,2481,17.7,1252,801091099,16.9,38.1,"Australian Capital Territory",1229
98.8,"Niagara Park - Lisarow",1,64.6,8121,21.3,4086,102011036,14.1,38.8,"New South Wales",4035
94.5,"Point Clare - Koolewong",1,61.3,6269,17.7,3223,102011037,21.0,44.9,"New South Wales",3046
94.7,"Saratoga - Davistown",1,58.7,7339,19.1,3769,102011038,22.2,42.4,"New South Wales",3570
98.4,"Terrigal - North Avoca",1,62.3,14451,18.3,7285,102011039,19.4,42.1,"New South Wales",7166
93.3,"Umina - Booker Bay - Patonga",1,57.7,24813,16.6,12834,102011040,25.7,46.0,"New South Wales",11979
97.6,"Altona Meadows",2,68.0,20454,16.8,10350,213021342,15.2,38.6,"Victoria",10104
93.1,"Wyoming",1,59.9,11833,19.7,6127,102011043,20.5,40.1,"New South Wales",5706
91.6,"Bateau Bay - Killarney Vale",1,59.6,22615,19.8,11802,102021044,20.6,39.9,"New South Wales",10813
94.5,"Blue Haven - San Remo",1,62.8,11440,23.6,5882,102021045,13.6,33.7,"New South Wales",5558
98.1,"Budgewoi - Buff Point - Halekulani",1,58.6,9770,17.1,4933,102021046,24.2,45.6,"New South Wales",4837
95.1,"Chittaway Bay - Tumbi Umbi",1,62.3,15748,20.2,8071,102021047,17.6,39.8,"New South Wales",7677
95.1,"Gorokan - Kanwal - Charmhaven",1,60.8,22896,18.2,11737,102021048,21.0,40.7,"New South Wales",11159
106.2,"Jilliby - Yarramalong",1,68.7,3576,17.3,1734,102021049,14.1,41.7,"New South Wales",1842
94.9,"Lake Munmorah - Mannering Park",1,54.7,11235,15.6,5765,102021050,29.8,49.4,"New South Wales",5470
102.4,"Ourimbah - Fountaindale",1,65.8,5017,19.7,2479,102021051,14.5,39.2,"New South Wales",2538
101.6,"Summerland Point - Gwandalan",1,60.1,6128,17.5,3040,102021052,22.4,44.4,"New South Wales",3088
95.2,"The Entrance",1,58.5,15860,16.2,8127,102021053,25.4,46.4,"New South Wales",7733
96.9,"Toukley - Norah Head",1,56.8,10372,17.0,5268,102021054,26.2,46.0,"New South Wales",5104
98.4,"Tuggerah - Kangy Angy",1,65.0,5470,19.5,2757,102021055,15.5,37.3,"New South Wales",2713
96.8,"Bathurst - East",1,62.3,12334,23.6,6266,103011059,14.0,34.0,"New South Wales",6068
114.3,"Bathurst Region",1,63.1,7073,17.1,3300,103011060,19.9,46.8,"New South Wales",3773
107.0,"Oberon",1,59.4,4717,17.6,2279,103011061,23.0,45.2,"New South Wales",2438
101.1,"Condobolin",1,56.2,6529,22.6,3247,103021062,21.2,39.8,"New South Wales",3282
96.3,"Cowra",1,56.3,9294,19.1,4734,103021063,24.5,44.9,"New South Wales",4560
103.7,"Cowra Region",1,58.1,5556,16.7,2728,103021064,25.2,48.8,"New South Wales",2828
102.1,"Forbes",1,57.9,10491,19.9,5191,103021065,22.2,41.7,"New South Wales",5300
102.7,"Grenfell",1,54.3,3606,16.4,1779,103021066,29.3,51.5,"New South Wales",1827
95.4,"Parkes (NSW)",1,59.9,11208,20.9,5735,103021067,19.2,38.5,"New South Wales",5473
106.1,"Parkes Region",1,56.7,3390,19.6,1645,103021068,23.7,47.4,"New South Wales",1745
101.6,"West Wyalong",1,58.5,5960,20.3,2957,103021069,21.3,42.6,"New South Wales",3003
103.7,"Lithgow",1,59.5,12907,17.2,6335,103031070,23.3,44.3,"New South Wales",6572
108.9,"Lithgow Region",1,60.2,8605,17.4,4119,103031071,22.3,47.2,"New South Wales",4486
93.5,"Warnervale - Wadalba",1,62.5,17636,25.3,9112,102021056,12.2,34.0,"New South Wales",8524
98.9,"Wyong",1,62.1,9294,20.0,4672,102021057,17.9,39.4,"New South Wales",4622
100.2,"Bathurst",1,65.3,24857,18.1,12416,103011058,16.6,35.5,"New South Wales",12441
94.9,"Broken Hill",1,60.2,17479,16.9,8967,105021097,22.9,45.0,"New South Wales",8512
120.8,"Far West",1,61.9,2449,22.0,1109,105021098,16.1,37.6,"New South Wales",1340
102.8,"Coonabarabran",1,55.2,7908,18.9,3900,105031099,26.0,48.3,"New South Wales",4008
94.1,"Dubbo - East",1,64.5,10453,21.7,5385,105031100,13.8,36.5,"New South Wales",5068
99.7,"Narromine",1,56.5,6593,22.1,3301,105031105,21.3,41.1,"New South Wales",3292
118.0,"Wellington",1,61.1,9442,18.6,4331,105031106,20.3,40.3,"New South Wales",5111
100.3,"Branxton - Greta - Pokolbin",1,63.6,11298,22.6,5641,106011107,13.8,36.5,"New South Wales",5657
104.5,"Cessnock",1,63.1,23669,20.3,11573,106011108,16.6,36.1,"New South Wales",12096
100.0,"Cessnock Region",1,62.6,8628,20.1,4314,106011109,17.3,42.8,"New South Wales",4314
100.6,"Dungog",1,59.9,9423,19.1,4697,106011110,21.0,44.7,"New South Wales",4726
98.5,"Kurri Kurri - Abermain",1,62.8,18835,21.0,9488,106011111,16.2,36.9,"New South Wales",9347
100.3,"Singleton",1,65.1,16277,22.4,8126,106011112,12.5,35.1,"New South Wales",8151
106.0,"Singleton Region",1,62.4,5159,21.1,2504,106011113,16.6,42.4,"New South Wales",2655
100.2,"Maitland",1,65.2,7724,21.8,3859,106021114,13.0,33.8,"New South Wales",3865
94.6,"Maitland - East",1,62.6,28867,20.3,14836,106021115,17.1,38.2,"New South Wales",14031
98.0,"Maitland - North",1,61.9,8289,23.1,4187,106021116,15.0,37.9,"New South Wales",4102
96.5,"Maitland - West",1,64.0,24739,22.5,12589,106021117,13.5,34.0,"New South Wales",12150
98.1,"Thornton - Millers Forest",1,66.9,12336,23.0,6227,106021118,10.0,33.5,"New South Wales",6109
97.0,"Anna Bay",1,59.6,5935,15.3,3012,106031119,25.1,48.5,"New South Wales",2923
103.5,"Lemon Tree Passage - Tanilba Bay",1,54.6,6838,18.3,3361,106031120,27.1,49.8,"New South Wales",3477
93.0,"Nelson Bay Peninsula",1,53.5,22341,14.6,11575,106031121,31.9,52.3,"New South Wales",10766
97.5,"Raymond Terrace",1,62.0,13994,20.9,7087,106031122,17.1,38.4,"New South Wales",6907
101.3,"Seaham - Woodville",1,65.5,5565,19.6,2765,106031123,14.9,42.4,"New South Wales",2800
101.9,"Tea Gardens - Hawks Nest",1,45.4,5365,8.7,2657,106031124,45.9,63.0,"New South Wales",2708
102.5,"Williamtown - Medowie - Karuah",1,62.9,14734,20.6,7275,106031125,16.5,39.6,"New South Wales",7459
106.2,"Muswellbrook",1,63.9,12372,23.5,5999,106041126,12.6,34.9,"New South Wales",6373
106.3,"Muswellbrook Region",1,64.4,4005,19.9,1941,106041127,15.7,40.5,"New South Wales",2064
99.3,"Scone",1,60.9,5783,20.6,2902,106041128,18.5,39.0,"New South Wales",2881
100.4,"Scone Region",1,60.4,8412,20.1,4198,106041129,19.5,42.8,"New South Wales",4214
94.9,"Dapto - Avondale",1,61.0,24621,18.9,12630,107011131,20.1,40.1,"New South Wales",11991
95.6,"Horsley - Kembla Grange",1,65.5,10154,23.9,5192,107011132,10.6,34.3,"New South Wales",4962
450.0,"Port Kembla Industrial",1,72.7,11,0.0,2,107011133,27.3,54.5,"New South Wales",9
98.0,"Unanderra - Mount Kembla",1,65.2,15764,18.3,7961,107011134,16.5,39.3,"New South Wales",7803
90.3,"Dubbo - South",1,62.2,18468,21.9,9706,105031101,16.0,34.9,"New South Wales",8762
94.4,"Dubbo - West",1,61.5,9846,23.3,5066,105031102,15.2,33.7,"New South Wales",4780
105.6,"Dubbo Region",1,61.4,5994,20.8,2916,105031103,17.9,43.0,"New South Wales",3078
99.9,"Gilgandra",1,55.8,4397,20.8,2200,105031104,23.4,44.1,"New South Wales",2197
101.1,"Windang - Primbee",1,56.8,4390,15.1,2183,107011547,28.1,48.8,"New South Wales",2207
150.0,"Illawarra Catchment Reserve",1,20.0,5,0.0,2,107021135,80.0,67.5,"New South Wales",3
95.9,"Albion Park - Macquarie Pass",1,65.6,15677,22.0,8003,107031136,12.4,35.0,"New South Wales",7674
