median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, lga_code_2021, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1199,49,1300,"99399",228,0.8,1630,2.2,728
1269,44,993,"59310",180,0.7,1757,2.3,767
1385,45,1148,"59320",150,0.8,1663,2.5,741
916,54,650,"59330",150,0.6,1481,1.9,582
1858,33,2000,"59340",230,1.0,2082,2.7,1016
1575,34,223,"59350",150,0.9,1583,2.6,1397
1370,47,790,"59360",150,0.6,2057,2.0,1128
1127,56,1404,"59370",260,0.7,1538,2.2,604
836,56,1083,"60210",240,0.8,1132,2.0,484
1352,35,1392,"60410",280,0.9,1593,2.6,700
1225,40,1129,"60610",240,0.8,1598,2.3,661
1209,48,1300,"60810",250,0.8,1562,2.3,634
1013,50,900,"61010",200,0.8,1400,2.1,569
1270,41,1083,"61210",220,0.8,1614,2.4,670
1602,41,1541,"61410",350,0.8,1991,2.4,820
1244,42,1235,"61510",285,0.8,1518,2.5,619
1167,43,1200,"61610",250,0.8,1495,2.3,630
1039,48,1083,"61810",220,0.7,1358,2.2,583
1057,57,867,"62010",139,0.7,1542,2.0,678
996,49,1083,"62210",220,0.7,1272,2.2,519
1005,57,1103,"62410",250,0.8,1289,2.1,596
1325,37,1337,"62610",325,0.9,1632,2.4,691
1842,37,1800,"62810",390,0.9,2324,2.3,886
1227,46,1300,"63010",290,0.8,1514,2.4,609
1207,49,1248,"63210",230,0.8,1470,2.4,604
1330,45,1083,"63410",190,0.7,1719,2.1,845
1667,41,1625,"63610",380,0.8,2025,2.5,796
1256,49,1322,"63810",260,0.8,1534,2.3,645
1310,39,1300,"64010",278,0.8,1677,2.3,694
1290,46,1322,"64210",270,0.8,1675,2.4,670
1259,46,1300,"64610",250,0.8,1618,2.3,683
1474,30,1087,"70420",115,1.2,1035,3.2,456
680,32,0,"70540",75,1.2,661,3.2,272
1122,28,498,"70620",75,1.4,635,4.1,272
996,51,1517,"70700",175,0.9,1379,2.1,607
2188,35,2000,"71000",380,0.9,2463,2.6,1111
1395,28,997,"71300",80,1.7,775,4.8,290
2116,33,1625,"72200",295,1.0,2353,2.7,1072
2346,39,2253,"72300",380,1.0,2675,2.8,1119
1151,30,758,"72330",75,1.4,743,3.8,286
