median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, lga_code_2021, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
2151,37,2363,"18400",415,0.8,2350,3.0,877
1682,39,2167,"18450",390,0.8,2151,2.5,754
3192,41,3900,"18500",695,0.9,4561,2.3,1619
2289,43,2167,"18710",350,0.8,2701,2.7,1050
1638,45,1300,"19399",263,0.8,1927,2.5,900
1340,49,1473,"20110",275,0.7,1769,2.3,731
1252,46,1083,"20260",245,0.7,1651,2.2,685
1429,39,1477,"20570",297,0.7,1871,2.4,743
2027,40,2167,"20660",399,0.8,2521,2.5,915
1163,51,1500,"20740",300,0.7,1485,2.2,626
1495,41,1600,"20830",320,0.7,1874,2.5,726
2487,45,3000,"20910",520,0.8,3361,2.5,1098
1192,51,1300,"21010",250,0.7,1548,2.2,654
2376,40,3000,"21110",451,0.9,3186,2.5,1071
1506,37,1700,"21180",346,0.9,1674,2.9,611
1088,52,734,"21270",158,0.7,1468,2.2,618
1264,47,1300,"21370",250,0.7,1630,2.4,668
1874,34,1868,"21450",361,0.8,2097,2.8,831
1918,34,1950,"21610",380,0.9,2045,3.1,783
904,52,1018,"21670",235,0.7,1260,2.1,503
1277,45,1300,"21750",265,0.7,1721,2.3,704
1263,48,1083,"21830",225,0.7,1669,2.3,689
1829,37,2080,"21890",381,0.9,2369,2.4,879
1110,52,1300,"22110",268,0.7,1417,2.2,603
1653,39,1800,"22170",356,0.8,2098,2.5,805
1071,51,1000,"22250",195,0.7,1417,2.2,590
1400,39,1300,"22830",260,0.8,1759,2.5,712
1281,52,1421,"22910",295,0.7,1697,2.2,666
1159,50,750,"22980",180,0.7,1569,2.2,644
1972,39,2167,"23110",380,0.8,2453,2.5,913
1381,41,1200,"23190",240,0.7,1850,2.3,772
1703,33,1806,"23270",369,0.9,1852,3.1,665
1511,47,1517,"23350",275,0.7,1954,2.4,777
1914,41,2167,"23430",402,0.8,2406,2.5,878
1884,40,2000,"23670",400,0.8,2194,2.7,797
1260,42,1213,"23810",236,0.7,1679,2.3,654
1039,52,867,"23940",170,0.8,1394,2.2,554
2059,43,2000,"24130",390,0.8,2403,2.7,865
1920,43,2400,"24210",462,0.8,2252,2.7,756
1325,49,1500,"24250",320,0.7,1705,2.3,716
1998,35,2100,"24330",376,0.9,2494,2.4,965
2105,33,2300,"17100",460,1.1,2301,2.7,869
2288,41,2620,"17150",500,0.9,2758,2.7,1018
2212,34,2700,"17200",550,1.1,3057,1.9,1241
1416,39,1517,"17310",300,0.7,1821,2.4,755
1203,47,1100,"17350",230,0.7,1623,2.3,656
885,55,1083,"17400",240,0.7,1206,2.1,490
2133,38,2400,"22310",436,0.9,2806,2.5,1021
1214,49,1083,"22410",220,0.7,1599,2.2,640
1899,39,1733,"22490",338,0.8,2125,2.9,783
1448,40,1417,"22620",295,0.7,1865,2.4,739
1453,36,1785,"22670",346,1.0,1605,2.9,618
1592,39,1733,"22750",346,0.8,2051,2.4,769
1678,30,1963,"24600",396,1.0,2368,1.8,959
1887,33,1800,"24650",360,0.8,2051,3.1,786
1341,40,1283,"24780",265,0.8,1700,2.4,694
1719,36,1733,"24850",328,0.8,2012,2.7,789
